,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
1713,51.0,12.0,38.0,50.0,6.86,88.4,181.3,23,9.1,15.7,297.9
1717,23.0,11.0,41.0,48.0,6.47,37.0,61.3,1,5.9,15.7,265.2
1720,43.0,27.0,20.0,54.0,6.69,22.8,75.8,3,5.1,9.9,314.1
1721,23.0,18.0,34.0,47.0,6.15,88.4,110.2,3,8.3,16.4,427.3
1738,52.0,12.0,52.0,36.0,6.47,23.9,30.9,2,3.2,75.1,398.5
1741,23.0,10.0,45.0,45.0,6.4,37.8,34.1,1,3.3,16.4,259.7
1751,37.0,14.0,33.0,53.0,6.06,10.04,33.9,1,3.0,24.1,324.6
1753,24.0,16.0,31.0,53.0,6.91,22.0,91.0,4,6.7,12.2,126.9
1772,69.0,8.0,57.0,34.0,6.79,16.6,43.2,4,3.8,13.7,86.3
1775,32.0,18.0,24.0,58.0,6.25,14.83,33.0,0,4.0,17.4,99.0
1917,47.0,14.0,64.0,22.0,6.54,21.3,18.4,1,1.1,0.0,83.6
1943,32.0,20.0,39.0,42.0,6.63,56.0,33.8,1,3.7,12.7,309.3
1945,44.0,25.0,48.0,27.0,6.64,10.68,6.0,0,0.9,0.0,135.4
1946,30.0,18.0,44.0,38.0,6.71,35.5,14.2,1,1.7,79.4,415.4
1947,40.0,22.0,46.0,32.0,6.94,26.0,16.3,1,1.9,50.6,440.4
1948,13.0,31.0,16.0,53.0,6.7,17.07,21.4,1,2.3,0.0,123.8
1952,71.0,13.0,51.0,36.0,6.95,39.6,123.0,139,6.1,13.6,387.9
1978,35.0,28.0,25.0,47.0,6.78,13.03,42.0,3,2.1,0.0,174.3
1981,76.0,12.0,62.0,26.0,6.87,12.88,20.2,1,2.1,10.7,194.2
2039,17.0,13.0,44.0,44.0,6.04,11.12,19.8,0,2.2,33.4,140.9
2046,28.0,9.0,66.0,26.0,6.34,31.8,14.0,1,1.7,80.2,564.8
2049,12.0,7.0,65.0,28.0,6.06,75.8,31.4,0,3.4,107.3,1457.2
2052,30.0,26.0,6.0,68.0,6.05,44.2,39.5,1,4.5,12.2,129.4
2064,22.0,23.0,21.0,56.0,6.16,55.9,34.4,1,4.5,12.8,90.3
2073,7.0,23.0,45.0,33.0,6.7,17.35,23.5,1,2.0,0.0,302.0
2074,18.0,30.0,42.0,29.0,6.67,133.8,10.4,0,1.1,8.8,199.2
2097,42.0,33.0,13.0,54.0,6.14,15.88,24.1,0,3.0,0.0,49.8
2098,11.0,13.0,27.0,60.0,6.0,73.0,70.4,1,7.9,18.4,81.6
2110,55.0,11.0,55.0,33.0,6.06,11.54,28.6,0,3.0,10.9,49.3
2111,48.0,18.0,29.0,53.0,6.25,27.4,45.8,1,4.3,0.0,54.2
2129,39.0,10.0,57.0,33.0,6.24,42.7,233.7,14,9.4,21.3,496.3
2151,41.0,23.0,37.0,40.0,6.75,11.33,45.3,3,4.2,6.9,155.5
2168,32.0,28.0,24.0,48.0,6.44,41.7,37.8,0,3.5,8.4,246.1
2174,26.0,21.0,20.0,60.0,6.33,19.56,70.8,0,8.0,10.0,265.8
2176,19.0,22.0,20.0,58.0,6.09,24.4,51.9,0,5.5,9.9,55.3
2192,12.0,13.0,53.0,35.0,6.35,39.0,28.8,2,2.7,7.0,109.1
2196,13.0,12.0,47.0,41.0,6.34,27.6,27.9,0,2.8,21.7,315.9
2237,21.0,9.0,67.0,24.0,6.05,12.26,23.6,1,2.3,10.6,171.7
2238,46.0,8.0,56.0,35.0,6.15,14.63,41.8,1,1.7,9.0,124.1
2240,4.0,10.0,50.0,41.0,6.59,64.6,27.5,0,3.1,40.4,57.3
2257,50.0,16.0,55.0,30.0,6.8,14.49,23.7,2,2.1,7.0,78.2
2269,37.0,17.0,39.0,44.0,6.83,59.4,112.5,20,7.0,36.4,499.5
2271,26.0,16.0,52.0,32.0,6.74,10.33,5.7,0,0.6,0.0,51.1
2305,40.0,12.0,50.0,38.0,6.23,14.43,34.9,1,1.9,11.1,84.2
2327,3.0,22.0,20.0,58.0,6.46,19.86,53.7,0,5.8,9.4,93.3
2353,2.0,17.0,31.0,52.0,6.19,25.6,28.9,1,3.0,10.7,63.6
2371,5.0,12.0,59.0,29.0,6.74,14.0,14.0,0,1.3,0.0,73.7
2396,5.0,21.0,27.0,52.0,6.93,28.8,56.3,14,4.7,8.9,497.7
2413,7.0,23.0,32.0,44.0,6.62,14.13,36.1,27,2.6,7.3,203.6
2416,3.0,25.0,21.0,55.0,6.14,12.09,40.0,0,3.1,0.0,202.0
2547,46.0,18.0,38.0,44.0,6.94,27.2,59.5,1,5.8,58.3,355.0
2554,52.0,10.0,36.0,53.0,6.61,19.97,23.8,1,2.3,11.3,121.0
2567,5.0,9.0,60.0,31.0,6.45,12.31,24.4,1,2.4,6.2,191.3
2697,33.0,30.0,21.0,49.0,6.21,12.0,25.8,1,2.6,2.3,108.8
2714,30.0,19.0,29.0,52.0,6.0,14.39,55.5,1,4.3,11.7,146.9
2800,22.0,23.0,30.0,47.0,6.92,13.67,24.1,3,1.9,0.0,95.4
2841,36.0,19.0,21.0,60.0,6.52,98.5,125.5,16,10.5,18.5,256.3
2843,36.0,20.0,26.0,54.0,6.98,75.5,78.7,114,5.9,28.6,424.8
2858,39.0,19.0,38.0,43.0,6.84,15.41,47.8,12,3.4,11.3,182.4
2863,39.0,14.0,28.0,58.0,6.5,122.2,75.6,3,6.8,19.9,173.6
2870,52.0,14.0,39.0,47.0,6.2,11.14,45.2,1,5.0,14.6,141.5
2876,23.0,19.0,22.0,59.0,6.73,111.7,127.8,14,14.6,16.2,244.8
2916,66.0,12.0,59.0,29.0,6.17,30.6,15.1,1,1.7,0.0,121.6
2919,59.0,20.0,47.0,33.0,6.57,13.2,8.8,1,1.1,0.0,97.6
2953,48.0,12.0,69.0,19.0,6.97,13.05,5.2,0,0.6,30.6,245.5
2975,43.0,16.0,25.0,59.0,6.43,11.14,46.7,1,3.4,9.2,255.4
2976,30.0,20.0,33.0,46.0,6.05,47.4,45.9,1,4.3,12.8,370.1
2991,21.0,7.0,63.0,30.0,6.1,10.89,16.9,1,1.7,17.2,65.2
3006,13.0,14.0,43.0,42.0,6.58,24.7,18.8,1,2.1,7.0,290.2
3018,29.0,20.0,34.0,47.0,6.7,11.44,50.4,0,4.5,9.5,243.3
3045,14.0,34.0,18.0,48.0,6.67,49.0,38.9,3,3.5,6.7,602.0
3047,10.0,12.0,47.0,40.0,6.38,45.3,64.4,3,3.0,11.2,155.2
3064,51.0,19.0,27.0,54.0,6.1,12.74,18.8,1,1.9,5.2,72.2
3070,19.0,14.0,42.0,44.0,6.23,17.43,48.0,0,4.5,23.8,221.7
3071,16.0,15.0,42.0,43.0,6.95,11.1,31.7,3,2.9,11.1,85.4
3099,48.0,11.0,46.0,43.0,6.0,11.31,37.4,0,2.0,16.4,155.4
3102,13.0,20.0,28.0,52.0,6.86,10.91,26.7,4,2.8,38.4,235.8
3132,23.0,15.0,54.0,31.0,6.97,10.98,16.2,2,1.5,4.3,152.5
3159,33.0,21.0,50.0,30.0,6.57,19.15,18.6,1,1.4,45.5,598.0
3178,21.0,22.0,27.0,51.0,6.39,12.15,34.3,1,3.0,8.5,180.2
3179,15.0,21.0,29.0,50.0,6.33,15.59,32.0,1,2.9,10.4,219.4
3191,35.0,26.0,32.0,42.0,6.63,12.4,38.9,2,4.3,9.6,161.6
3194,10.0,17.0,51.0,33.0,6.53,32.2,24.5,0,1.2,0.0,83.1
3197,14.0,20.0,32.0,48.0,6.86,10.18,28.3,7,2.9,0.0,218.2
3208,39.0,23.0,30.0,47.0,6.25,11.63,31.0,1,3.1,9.6,130.9
3214,37.0,16.0,34.0,50.0,6.22,15.55,48.9,1,5.2,14.5,489.2
3220,15.0,24.0,23.0,53.0,6.48,12.66,28.3,7,2.5,7.8,223.7
3224,21.0,28.0,17.0,55.0,7.0,13.71,52.4,11,5.4,8.7,404.8
3230,14.0,20.0,36.0,43.0,6.1,10.84,29.7,0,2.9,9.6,387.0
3233,25.0,25.0,33.0,43.0,6.83,14.87,26.9,3,2.9,36.6,159.2
3234,7.0,8.0,57.0,35.0,6.83,13.97,37.0,0,3.4,10.1,240.5
3235,40.0,27.0,13.0,60.0,6.34,18.04,59.2,5,6.5,11.7,181.5
3244,24.0,8.0,56.0,36.0,6.26,71.7,222.9,4,8.3,7.7,47.9
3263,44.0,17.0,42.0,41.0,6.57,36.6,102.4,121,4.4,56.3,260.0
3270,12.0,32.0,19.0,49.0,6.91,37.5,13.9,0,1.3,9.9,61.7
3288,23.0,22.0,24.0,55.0,6.76,12.54,57.1,2,8.0,6.3,125.2
3317,6.0,21.0,40.0,39.0,6.98,19.03,17.2,3,1.6,5.8,186.3
3321,15.0,24.0,37.0,39.0,6.55,10.21,32.6,3,2.6,5.6,233.3
3345,90.0,9.0,57.0,34.0,6.82,57.5,272.7,196,14.2,31.4,397.1
3383,34.0,30.0,19.0,50.0,6.79,39.9,43.2,11,4.2,6.6,210.5
3384,21.0,16.0,37.0,47.0,6.05,13.69,55.0,1,4.2,9.1,320.5
3397,9.0,24.0,50.0,26.0,6.64,11.59,4.4,0,0.7,5.9,163.2
3432,27.0,16.0,45.0,39.0,6.93,99.9,157.9,253,10.3,31.2,437.6
3457,9.0,18.0,40.0,42.0,6.78,10.61,45.0,3,4.3,8.9,274.0
3463,16.0,38.0,13.0,49.0,6.18,32.1,40.6,1,4.3,8.2,301.9
3489,18.0,13.0,37.0,50.0,6.27,11.29,12.7,1,1.2,5.2,61.7
3493,30.0,15.0,41.0,44.0,6.78,16.84,100.7,6,5.5,15.2,259.7
3508,14.0,21.0,42.0,37.0,7.0,43.7,41.5,9,3.9,150.9,707.2
3510,19.0,18.0,38.0,44.0,6.99,82.6,68.6,24,6.2,117.3,1045.5
3518,19.0,22.0,22.0,56.0,6.01,20.9,41.7,1,2.6,8.6,258.8
3520,18.0,19.0,39.0,42.0,6.24,11.01,11.9,1,1.3,8.5,90.2
3531,23.0,27.0,24.0,49.0,6.14,18.08,40.3,1,3.9,0.0,288.5
3553,11.0,15.0,53.0,32.0,6.64,14.49,6.8,1,0.9,49.7,218.8
3556,14.0,15.0,39.0,46.0,6.06,13.15,34.6,0,1.7,0.0,176.7
3560,4.0,8.0,59.0,32.0,6.55,25.7,15.7,0,1.5,10.4,388.4
3563,32.0,23.0,25.0,51.0,6.65,38.7,46.7,1,3.8,12.1,248.5
3568,23.0,18.0,36.0,46.0,6.43,10.96,12.2,0,1.0,0.0,193.4
3569,12.0,38.0,9.0,53.0,6.0,51.4,67.9,4,7.1,50.5,224.9
3578,23.0,20.0,27.0,53.0,6.3,31.0,43.1,0,3.0,10.9,348.8
3582,27.0,26.0,24.0,50.0,6.3,11.03,81.9,1,5.0,8.9,101.4
3586,31.0,18.0,38.0,44.0,6.41,12.83,34.6,1,2.4,37.8,471.8
3587,25.0,10.0,49.0,41.0,6.42,33.1,78.6,0,6.5,20.5,558.8
3596,26.0,10.0,44.0,46.0,6.05,26.8,16.2,0,1.7,0.0,102.7
3612,11.0,21.0,21.0,58.0,6.53,30.0,23.5,1,2.1,5.8,165.6
3613,6.0,10.0,61.0,29.0,6.26,12.3,9.3,1,1.1,0.0,52.9
3627,23.0,36.0,18.0,47.0,6.51,13.93,30.1,1,3.2,0.0,216.5
3629,7.0,13.0,26.0,60.0,6.88,103.6,156.9,12,15.4,24.7,386.7
3631,14.0,13.0,35.0,52.0,6.12,23.4,22.2,0,1.6,7.6,112.6
3634,27.0,22.0,26.0,52.0,6.63,11.57,25.5,3,2.5,0.0,204.8
3641,23.0,10.0,69.0,21.0,6.2,10.38,7.0,0,0.8,0.0,63.6
3643,39.0,26.0,19.0,55.0,6.2,12.19,65.6,1,3.8,0.0,281.9
3644,32.0,19.0,41.0,40.0,6.27,10.69,51.1,0,2.8,0.0,166.5
3645,12.0,13.0,32.0,55.0,6.03,21.0,46.5,0,4.7,18.8,258.9
3660,38.0,32.0,12.0,56.0,6.95,11.78,76.3,3,7.8,8.7,494.4
3666,9.0,20.0,30.0,49.0,6.29,15.75,20.0,1,2.2,23.1,163.4
3671,36.0,12.0,38.0,50.0,7.0,42.5,192.1,34,16.3,14.3,56.1
3675,6.0,15.0,36.0,49.0,6.19,19.77,61.5,1,5.2,108.4,311.4
3676,5.0,10.0,48.0,42.0,6.32,12.55,36.3,1,3.4,11.7,52.1
3699,12.0,29.0,25.0,46.0,6.39,30.4,26.4,1,3.3,37.7,150.2
3700,30.0,35.0,11.0,54.0,6.79,19.68,22.5,3,2.4,42.8,574.5
3705,8.0,12.0,48.0,40.0,6.27,26.2,33.3,1,3.3,81.8,359.4
3708,12.0,21.0,38.0,41.0,6.55,16.68,14.5,0,1.8,56.6,204.7
3709,5.0,11.0,45.0,44.0,6.24,36.6,17.1,1,1.9,93.9,287.6
3712,4.0,12.0,58.0,30.0,6.07,13.37,15.1,0,1.7,54.5,69.0
3714,4.0,8.0,64.0,27.0,6.34,28.4,25.1,0,2.0,44.4,179.1
3718,9.0,12.0,58.0,30.0,6.73,35.1,14.3,1,1.5,37.6,247.8
3721,43.0,26.0,11.0,63.0,6.91,55.9,52.6,6,5.9,27.7,136.2
3722,32.0,23.0,15.0,61.0,6.26,37.8,47.5,1,5.3,35.2,104.4
3726,31.0,34.0,13.0,54.0,6.68,14.21,46.6,8,4.3,6.1,256.8
3732,10.0,21.0,16.0,63.0,6.81,10.66,11.8,0,1.5,73.1,259.4
3733,6.0,13.0,36.0,51.0,6.1,10.65,27.9,0,2.3,26.2,65.3
3734,7.0,12.0,66.0,22.0,6.14,20.4,6.8,0,0.9,72.9,145.1
3741,12.0,18.0,15.0,67.0,6.88,28.5,12.0,1,1.6,114.7,316.7
3744,40.0,14.0,38.0,48.0,6.6,97.1,218.4,7,14.9,18.7,219.3
3746,35.0,22.0,14.0,64.0,6.87,58.5,93.6,16,6.6,8.9,143.0
3747,38.0,11.0,36.0,53.0,6.7,131.9,251.5,16,14.7,10.4,91.6
3748,28.0,25.0,12.0,62.0,6.56,21.0,55.8,1,5.1,0.0,107.0
3750,17.0,20.0,17.0,63.0,6.15,23.7,45.9,0,5.3,65.4,115.0
3756,4.0,7.0,73.0,19.0,6.6,14.6,15.4,1,1.6,51.3,71.3
3757,20.0,34.0,10.0,57.0,6.14,12.45,16.9,1,1.8,36.7,116.9
3775,3.0,15.0,60.0,25.0,6.67,19.72,13.4,2,1.6,25.4,154.1
3781,16.0,9.0,46.0,45.0,6.16,24.8,54.5,2,3.9,18.6,163.6
3786,5.0,13.0,57.0,29.0,6.69,16.32,7.1,22,0.8,0.0,29.9
3850,15.0,50.0,23.0,27.0,6.97,21.1,8.4,1,1.3,155.8,1123.0
3851,21.0,29.0,36.0,35.0,6.92,10.2,8.7,1,1.0,31.2,173.9
3854,16.0,21.0,12.0,67.0,6.84,40.1,57.3,7,5.6,12.2,121.6
3861,22.0,17.0,39.0,45.0,6.22,10.52,37.4,0,3.4,12.8,154.0
3882,9.0,10.0,53.0,37.0,6.17,24.0,40.2,0,3.0,10.2,178.3
3885,31.0,39.0,19.0,42.0,6.95,25.3,50.3,4,4.9,0.0,390.8
3895,31.0,28.0,29.0,43.0,6.15,25.8,30.7,0,3.3,0.0,143.4
3909,43.0,29.0,21.0,50.0,6.35,10.3,65.5,2,4.1,0.0,141.9
3917,15.0,11.0,50.0,39.0,6.94,15.37,31.2,11,1.8,0.0,61.3
3927,9.0,19.0,25.0,56.0,6.76,21.1,11.9,0,1.4,41.9,115.5
3930,8.0,21.0,12.0,67.0,6.88,10.75,11.3,0,1.3,55.9,111.6
3932,5.0,15.0,33.0,52.0,6.46,14.14,9.7,0,1.2,32.1,123.0
3936,4.0,6.0,68.0,26.0,6.28,30.4,20.9,0,2.2,102.2,549.2
3942,19.0,22.0,11.0,67.0,6.83,14.46,10.0,0,1.3,39.2,136.6
3953,18.0,26.0,15.0,59.0,6.83,21.3,16.7,1,2.1,82.8,297.0
3959,6.0,14.0,30.0,56.0,6.3,22.7,8.9,0,1.1,45.6,95.7
3962,3.0,6.0,66.0,27.0,6.21,13.26,16.6,0,1.7,85.1,54.5
3966,3.0,3.0,88.0,9.0,6.19,20.5,13.8,0,1.5,118.6,237.5
3967,10.0,17.0,22.0,61.0,6.85,28.8,16.6,0,1.8,153.2,521.8
3970,10.0,24.0,11.0,65.0,6.47,35.1,10.9,0,1.5,89.1,162.0
3971,11.0,20.0,16.0,64.0,6.84,12.69,12.9,0,1.5,45.8,177.3
3974,13.0,21.0,12.0,66.0,6.49,13.73,10.5,0,1.3,45.9,251.9
3976,20.0,26.0,11.0,63.0,6.8,19.38,24.8,0,2.1,97.4,359.5
3977,13.0,22.0,16.0,62.0,6.27,14.39,16.3,0,1.4,47.0,124.7
3982,11.0,22.0,16.0,61.0,6.61,15.76,10.9,1,1.4,34.3,204.1
3983,15.0,23.0,11.0,67.0,6.89,10.42,13.1,1,1.6,79.4,341.0
3985,7.0,19.0,22.0,59.0,6.96,17.49,10.3,1,1.3,87.3,179.6
3991,5.0,14.0,31.0,55.0,6.33,41.1,27.2,0,3.1,113.5,497.6
3994,9.0,15.0,43.0,42.0,6.69,20.3,8.6,0,1.1,93.9,275.5
3995,8.0,20.0,19.0,60.0,6.49,39.5,11.7,0,1.4,59.5,412.3
3996,5.0,12.0,55.0,32.0,6.11,25.8,9.2,0,1.1,112.7,342.8
4000,7.0,14.0,47.0,38.0,6.36,46.5,10.1,0,1.3,134.4,391.2
4001,7.0,16.0,46.0,38.0,6.6,16.91,10.8,0,1.4,109.9,184.5
4005,17.0,15.0,40.0,45.0,6.06,11.0,15.0,0,1.6,82.6,261.9
4007,8.0,9.0,44.0,46.0,6.1,72.8,80.8,2,4.7,14.7,135.4
4008,27.0,38.0,9.0,53.0,6.85,10.83,33.2,1,2.1,0.0,172.9
4012,17.0,11.0,37.0,52.0,6.5,30.2,7.9,0,1.1,34.0,690.5
4015,28.0,9.0,44.0,46.0,6.81,52.1,73.1,257,4.6,6.9,154.1
4017,18.0,8.0,47.0,45.0,6.28,47.7,20.2,1,2.7,53.9,45.1
4020,14.0,6.0,54.0,40.0,6.4,121.2,303.6,6,14.3,17.9,220.0
4030,20.0,5.0,63.0,31.0,6.85,32.7,368.3,23,16.3,70.2,284.0
4035,46.0,16.0,35.0,49.0,6.3,46.6,156.3,5,11.4,16.4,362.5
4036,12.0,6.0,51.0,43.0,6.17,89.6,62.0,1,4.8,21.7,133.9
4040,12.0,21.0,33.0,47.0,6.93,19.92,16.8,2,2.0,48.2,144.2
4043,45.0,15.0,42.0,43.0,6.47,116.2,190.2,109,10.2,36.8,169.8
4046,33.0,6.0,67.0,27.0,6.42,131.3,334.7,13,15.9,36.2,267.4
4047,24.0,24.0,18.0,58.0,6.61,29.6,71.5,3,6.7,13.1,203.7
4050,18.0,13.0,45.0,42.0,6.68,34.7,24.6,0,2.8,76.6,137.8
4054,26.0,7.0,46.0,47.0,6.9,82.9,141.3,370,6.1,24.9,62.9
4082,7.0,11.0,33.0,56.0,6.0,27.9,62.7,3,6.1,5.5,77.7
4102,11.0,7.0,54.0,40.0,6.85,44.2,35.0,6,3.7,19.2,117.4
4111,13.0,15.0,32.0,53.0,6.6,37.3,27.9,1,3.0,14.3,87.1
4128,8.0,18.0,26.0,56.0,6.08,31.1,21.2,1,2.4,0.0,310.9
4144,33.0,21.0,19.0,59.0,6.05,133.1,135.9,2,10.2,25.9,173.5
4145,27.0,18.0,21.0,61.0,6.86,35.4,47.2,20,5.5,11.0,87.2
4149,22.0,19.0,16.0,65.0,7.0,54.9,63.3,26,5.6,18.6,137.9
4150,23.0,9.0,52.0,39.0,6.97,54.4,19.7,3,2.0,12.3,183.3
4155,32.0,13.0,29.0,58.0,6.96,131.5,161.7,77,11.7,45.3,140.0
4157,42.0,21.0,21.0,58.0,6.78,109.7,153.1,36,10.6,15.4,122.4
4167,32.0,9.0,50.0,41.0,6.97,43.2,157.5,56,7.2,13.8,201.1
4180,7.0,10.0,33.0,56.0,7.0,55.4,64.7,7,6.2,64.8,93.5
4182,29.0,8.0,47.0,45.0,6.68,45.4,140.8,50,7.2,58.6,190.4
4184,16.0,19.0,26.0,55.0,6.89,60.3,62.7,5,4.1,0.0,62.1
4185,43.0,20.0,27.0,53.0,6.98,120.9,120.6,295,8.0,24.4,206.6
4192,32.0,13.0,30.0,57.0,6.22,117.7,128.0,1,11.0,8.9,47.9
4197,6.0,7.0,48.0,45.0,6.7,52.6,45.6,32,3.0,0.0,33.4
4215,25.0,12.0,27.0,61.0,6.58,24.4,31.5,2,3.0,7.6,247.9
4227,14.0,14.0,30.0,56.0,6.2,15.09,38.2,0,4.7,8.2,75.3
4231,22.0,14.0,32.0,54.0,6.71,49.1,116.8,13,5.6,8.8,162.9
4232,40.0,33.0,12.0,55.0,6.17,54.3,69.3,1,5.6,0.0,71.1
4235,12.0,14.0,21.0,65.0,6.1,89.2,37.3,2,4.7,24.1,111.3
