,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
19223,,,,,6.07,58.3,60.8,0,3.7,129.1,215.0
19224,,,,,7.02,31.5,14.2,1,1.8,46.2,255.9
19225,,,,,7.42,27.3,9.4,14,1.2,159.8,136.6
19229,,,,,6.62,24.5,42.8,2,4.7,25.5,235.1
19230,,,,,5.91,14.04,12.6,0,1.0,84.1,180.3
19231,,,,,5.78,10.48,12.7,0,1.2,71.0,58.0
19232,,,,,6.29,41.0,21.2,1,2.2,84.8,209.5
19234,,,,,7.42,41.6,17.8,40,2.3,82.7,395.9
19235,,,,,5.53,23.0,24.9,2,2.8,61.1,155.3
19236,,,,,5.75,39.8,33.4,1,1.7,102.7,141.3
19240,,,,,5.77,16.7,21.2,0,1.8,160.1,218.1
19247,,,,,5.54,18.34,39.4,0,3.8,37.1,319.5
19249,,,,,5.77,33.1,16.7,0,2.0,33.2,53.5
19250,,,,,6.78,14.53,10.2,4,1.3,69.8,126.4
19252,,,,,5.5,44.9,46.2,1,4.6,40.2,167.9
19254,,,,,6.38,16.89,9.1,0,1.1,23.7,181.8
19255,,,,,7.38,27.3,12.6,2,1.7,66.1,310.3
19257,,,,,6.61,29.0,17.9,2,2.2,33.3,96.3
19259,,,,,5.55,23.2,23.0,1,2.8,21.1,82.5
19260,,,,,7.18,33.7,20.1,3,2.3,55.7,397.7
19263,,,,,5.8,59.0,22.0,1,2.6,57.3,81.5
19264,,,,,6.98,20.1,11.9,2,1.5,88.6,235.6
19265,,,,,7.22,17.26,9.2,2,1.1,23.1,43.0
19266,,,,,6.05,17.73,10.1,0,1.2,80.3,222.4
19268,,,,,6.15,13.7,7.4,1,0.9,38.4,73.3
19269,,,,,6.26,23.6,18.1,0,1.9,44.5,109.5
19270,,,,,5.61,15.32,11.3,0,1.2,70.3,60.5
19272,,,,,6.08,45.7,20.3,1,2.5,144.0,262.1
19273,,,,,6.99,13.7,12.0,3,1.3,73.4,151.5
19274,,,,,6.6,20.5,11.4,1,1.3,48.5,206.5
19275,,,,,6.7,12.89,11.4,0,1.5,36.7,132.3
19277,,,,,7.01,29.4,15.2,4,1.8,113.5,241.6
19281,,,,,5.67,11.44,13.2,0,1.4,102.2,140.4
19282,,,,,6.95,17.56,11.6,1,1.5,46.4,191.5
19283,,,,,6.79,10.4,10.9,2,1.2,45.6,165.2
19284,,,,,7.09,12.09,12.8,2,1.4,30.6,192.1
19285,,,,,6.82,12.07,13.3,2,1.5,66.2,269.5
19287,,,,,5.67,16.52,14.9,0,1.6,64.8,93.5
19288,,,,,5.79,11.82,30.2,1,3.3,110.0,223.7
19289,,,,,6.99,24.4,15.3,3,1.8,99.1,259.7
19291,,,,,6.13,10.77,11.7,0,1.4,53.8,280.4
19292,,,,,7.14,14.4,11.5,2,1.5,55.6,200.4
19293,,,,,6.78,11.54,12.8,0,1.5,78.9,162.1
19296,,,,,5.53,56.8,75.9,1,4.9,82.6,428.4
19297,,,,,5.7,17.5,25.7,0,2.6,91.8,62.3
19298,,,,,5.5,21.9,23.6,0,2.9,104.6,199.7
19299,,,,,5.55,36.3,31.6,0,3.2,68.4,80.2
19300,,,,,5.54,12.49,29.8,0,2.1,69.2,96.7
19302,,,,,7.37,21.2,13.5,3,1.4,43.3,194.4
19305,,,,,6.98,19.01,14.2,2,1.5,62.0,194.9
19306,,,,,6.06,21.5,16.6,0,1.9,72.7,161.3
19307,,,,,6.12,12.64,16.5,0,1.6,69.6,146.5
19318,,,,,6.71,11.29,9.2,3,1.1,70.7,133.2
19319,,,,,7.39,23.3,14.6,5,1.6,82.0,271.0
19325,,,,,7.24,38.0,18.8,3,2.3,71.4,323.8
19327,,,,,6.73,50.8,41.8,4,4.9,11.9,117.1
19328,,,,,6.91,14.77,7.6,2,0.9,47.4,86.4
19331,,,,,6.55,15.28,27.5,2,2.9,25.5,408.8
19332,,,,,6.72,24.6,12.2,1,1.6,87.4,455.5
19335,,,,,7.19,14.41,11.9,2,1.4,45.6,208.0
19342,,,,,6.42,17.73,11.5,0,1.4,31.6,85.6
19346,,,,,6.52,26.4,24.4,1,2.9,111.9,506.8
19347,,,,,6.57,17.11,14.9,2,1.7,59.8,309.6
19349,,,,,7.47,15.9,15.0,7,1.7,52.3,237.0
19350,,,,,6.08,14.63,20.1,0,2.1,76.3,157.1
19351,,,,,6.74,12.49,13.1,1,1.4,38.6,177.6
19354,,,,,6.27,14.17,29.0,1,2.1,69.0,135.8
19355,,,,,7.28,16.85,11.5,2,1.5,54.3,97.8
19356,,,,,5.88,12.11,12.3,0,1.6,64.5,147.6
19358,,,,,6.43,25.6,32.5,2,3.6,35.2,161.2
19359,,,,,7.5,33.8,56.5,23,5.6,43.7,171.9
19360,,,,,5.67,21.7,21.3,0,2.7,16.3,63.3
19361,,,,,6.18,40.0,18.7,1,2.3,93.4,507.1
19364,,,,,7.22,18.94,18.9,2,2.3,93.1,318.2
19366,,,,,5.94,18.82,11.0,0,1.3,40.7,223.6
19368,,,,,6.82,11.51,17.1,0,1.9,47.4,441.2
19369,,,,,5.63,16.51,8.9,0,1.2,51.7,145.1
19370,,,,,7.06,15.41,16.9,2,1.9,82.4,444.0
19371,,,,,6.73,21.5,20.9,1,2.3,86.2,537.7
19373,,,,,6.5,10.8,9.9,0,1.1,53.3,180.8
19377,,,,,7.45,24.2,22.0,69,2.3,65.7,370.8
19379,,,,,7.42,34.0,23.0,11,2.7,10.1,189.9
19380,,,,,7.33,30.8,21.2,4,2.6,98.0,448.1
19382,,,,,7.27,37.1,26.3,7,3.0,74.6,465.0
19383,,,,,7.31,24.8,23.9,2,2.9,39.4,382.7
19384,,,,,5.6,35.5,11.3,0,1.7,40.9,229.6
19385,,,,,6.56,48.3,46.9,1,5.3,14.8,274.5
19386,,,,,6.58,17.47,16.5,1,2.0,56.9,335.1
19388,,,,,6.04,43.6,38.2,1,4.2,61.9,374.2
19391,,,,,5.95,14.3,22.5,2,2.0,116.1,136.0
19392,,,,,5.95,21.3,15.1,1,1.6,138.2,282.5
19398,,,,,7.16,15.64,11.4,1,1.5,28.5,216.3
19400,,,,,6.8,26.1,13.7,1,1.9,52.0,255.9
19401,,,,,6.83,35.7,50.3,2,5.5,41.4,296.6
19402,,,,,6.41,13.46,31.5,0,3.3,29.3,106.5
19404,,,,,6.64,10.71,12.3,1,1.5,100.8,207.4
19405,,,,,6.38,20.7,19.5,0,2.4,46.4,113.4
19406,,,,,5.9,18.05,16.2,0,1.9,25.6,72.5
19407,,,,,6.15,17.82,20.4,2,2.4,40.5,246.3
19408,,,,,6.54,29.5,40.2,1,4.7,92.6,287.7
19409,,,,,5.65,35.2,39.3,0,3.9,27.0,271.1
19410,,,,,6.18,18.33,52.7,0,5.6,35.4,362.8
19411,,,,,6.87,26.4,34.8,2,3.9,59.0,489.4
19417,,,,,6.41,25.1,9.5,2,1.1,39.9,144.1
19425,,,,,6.28,19.59,30.6,0,3.4,53.2,296.2
19428,,,,,6.47,28.1,19.1,2,2.3,23.5,29.0
19432,,,,,7.12,15.1,6.8,5,0.9,43.4,78.0
19442,,,,,6.79,11.27,21.9,1,2.5,87.2,26.3
19443,,,,,5.59,15.66,10.6,0,1.1,58.8,80.3
19444,,,,,5.78,25.8,34.5,0,3.8,73.1,277.0
19445,,,,,5.98,10.65,9.2,1,1.1,35.8,108.5
19448,,,,,6.05,38.1,38.5,2,3.8,76.2,357.6
19449,,,,,5.64,42.3,24.5,0,1.6,86.2,166.6
19451,,,,,7.04,28.3,13.1,1,1.7,80.8,177.4
19453,,,,,7.36,24.2,15.4,12,1.9,33.0,191.2
19456,,,,,6.34,25.8,16.1,1,2.1,77.4,212.7
19459,,,,,7.21,51.2,12.9,9,1.7,48.1,131.1
19461,,,,,6.08,28.4,13.3,0,1.7,87.8,318.8
19463,,,,,6.72,11.87,16.5,3,1.7,22.2,84.4
19468,,,,,6.75,17.42,7.1,1,0.9,19.1,77.5
19474,,,,,6.67,17.46,42.3,5,2.3,16.5,33.7
19477,,,,,7.18,25.8,14.4,1,1.7,88.1,96.3
19483,,,,,6.59,29.0,14.1,0,1.8,103.4,378.8
19486,,,,,7.47,38.5,33.9,106,2.9,22.7,210.5
19488,,,,,5.95,49.3,16.4,2,2.4,30.9,227.1
19491,,,,,6.9,15.85,21.6,3,2.3,73.0,446.0
19492,,,,,6.99,45.5,18.1,2,2.3,50.4,707.9
19493,,,,,5.56,11.89,39.1,0,2.8,17.9,189.5
19494,,,,,7.12,21.5,18.0,3,2.1,71.2,511.8
19495,,,,,6.01,11.03,12.4,0,1.3,109.2,163.8
19496,,,,,6.88,11.91,16.2,0,1.4,69.8,138.4
19497,,,,,5.94,26.7,20.0,0,2.4,24.0,107.0
19499,,,,,7.5,23.5,27.8,11,2.8,79.9,99.8
19500,,,,,6.89,31.5,9.0,1,1.2,82.9,248.4
19502,,,,,6.99,45.8,29.1,3,3.1,38.7,48.6
19503,,,,,6.72,10.7,11.2,0,1.3,96.4,96.3
19506,,,,,5.83,27.4,16.8,0,1.7,134.4,257.0
19510,,,,,5.96,14.49,18.3,1,2.0,75.4,398.0
19514,,,,,7.06,26.9,10.9,4,1.5,61.5,116.1
19520,,,,,6.65,10.15,12.7,0,1.6,51.0,246.2
19526,,,,,6.97,28.6,23.5,2,2.7,126.7,301.6
19527,,,,,5.88,24.5,18.8,1,1.8,56.2,56.8
19530,,,,,7.41,20.0,11.1,3,1.3,48.0,101.1
19535,,,,,6.75,17.87,20.5,1,2.4,39.9,109.4
19540,,,,,7.27,23.9,23.7,5,2.3,19.1,261.0
19542,,,,,7.18,14.7,13.5,4,1.6,16.3,197.3
19544,,,,,6.99,11.23,11.3,1,1.3,43.3,259.3
19546,,,,,6.0,16.24,14.0,1,1.4,65.8,123.4
19548,,,,,6.85,23.5,154.6,2,12.2,55.3,215.2
19551,,,,,6.09,18.86,25.1,0,2.0,55.5,74.8
19554,,,,,6.28,15.83,12.7,0,1.3,37.3,130.9
19555,,,,,5.79,15.56,77.4,0,4.5,82.5,248.4
19561,,,,,6.12,17.7,12.1,0,1.5,88.1,119.4
19563,,,,,6.13,15.17,32.4,0,2.1,41.6,86.2
19565,,,,,6.62,18.38,10.0,0,1.4,45.3,135.7
19569,,,,,6.76,21.5,13.2,0,1.6,60.2,164.9
19571,,,,,6.02,26.8,13.0,0,1.3,68.1,222.4
19574,,,,,5.5,12.54,44.1,0,3.3,68.8,35.3
19583,,,,,6.52,20.3,12.2,1,1.7,79.5,168.4
19585,,,,,6.76,18.77,16.9,1,2.1,92.3,349.3
19589,,,,,5.9,23.2,15.7,0,1.9,53.0,128.9
19591,,,,,5.79,36.0,49.1,0,3.2,108.7,172.3
19593,,,,,6.98,33.6,21.5,1,2.5,33.7,805.3
19598,,,,,6.1,48.0,17.0,0,2.3,72.8,172.1
19599,,,,,5.89,28.1,21.3,0,1.8,78.6,103.3
19603,,,,,5.86,33.1,19.0,0,2.4,68.4,201.1
19610,,,,,5.81,19.8,13.9,0,1.5,86.6,362.9
19612,,,,,6.38,17.26,11.4,0,1.3,56.2,191.3
19616,,,,,6.49,13.92,11.0,0,1.4,44.3,243.0
19617,,,,,6.65,12.98,9.0,0,1.0,40.9,188.4
19618,,,,,6.55,16.73,23.9,0,2.8,103.0,454.7
19622,,,,,6.78,15.97,14.4,3,1.3,16.8,36.4
19624,,,,,5.73,46.3,26.2,0,2.9,25.3,26.2
19625,,,,,6.79,10.18,11.6,0,1.2,32.9,49.7
19626,,,,,5.79,24.7,25.5,0,2.4,53.8,165.4
19627,,,,,5.55,12.15,22.0,0,2.4,112.7,275.8
19628,,,,,6.03,10.44,8.1,0,1.0,57.8,238.6
19632,,,,,6.1,35.7,11.4,0,1.5,52.4,174.8
19633,,,,,5.76,22.9,13.3,0,1.3,69.8,357.3
19634,,,,,7.31,25.6,12.7,4,1.4,135.3,195.0
19636,,,,,7.47,49.3,14.8,12,1.6,46.5,111.0
19638,,,,,6.27,24.3,21.1,0,1.6,57.0,88.7
19639,,,,,5.78,17.88,26.8,0,1.6,80.4,69.1
19643,,,,,6.82,28.2,10.8,0,1.4,42.8,224.4
19650,,,,,5.92,33.2,25.9,0,2.9,68.7,231.4
19651,,,,,6.47,18.02,16.6,0,2.1,115.1,271.8
19652,,,,,6.64,24.0,10.8,0,1.2,42.2,197.1
19655,,,,,5.73,15.62,7.1,0,0.9,38.3,50.0
19658,,,,,6.4,24.9,10.0,0,1.4,71.1,138.5
19659,,,,,6.4,29.0,9.2,0,1.1,61.7,154.6
19660,,,,,5.79,27.2,64.4,1,7.3,135.8,627.5
19662,,,,,5.66,15.17,8.4,0,1.0,66.7,51.7
19665,,,,,5.91,24.9,9.0,0,1.1,41.6,161.3
19667,,,,,6.95,24.2,18.0,3,2.2,67.9,482.7
19668,,,,,6.52,21.7,46.5,1,4.7,57.3,466.6
19669,,,,,6.12,24.7,30.7,0,3.4,61.7,198.5
19671,,,,,6.68,36.2,10.4,0,1.3,41.9,117.6
19672,,,,,7.15,29.5,11.2,1,1.5,45.9,211.9
19673,,,,,6.14,15.11,8.7,0,1.0,75.5,151.8
19674,,,,,6.41,33.1,23.1,0,2.5,65.1,162.5
19675,,,,,6.59,12.7,12.8,0,1.5,38.2,191.1
19676,,,,,7.48,29.3,55.2,79,5.6,30.6,453.4
19677,,,,,6.15,29.4,25.9,0,3.1,49.4,167.3
19678,,,,,7.02,26.0,29.1,2,3.2,24.2,514.8
19679,,,,,6.29,12.55,9.6,0,1.1,9.1,109.2
19681,,,,,7.1,44.7,15.1,2,1.9,93.7,566.4
19682,,,,,6.05,11.44,30.3,1,3.2,23.3,106.2
19683,,,,,6.48,18.99,11.1,1,1.5,49.3,187.1
19684,,,,,6.16,54.4,25.1,1,3.1,26.0,63.4
19686,,,,,6.37,55.9,48.4,1,5.3,40.8,215.8
19687,,,,,6.59,14.0,11.6,1,1.3,43.8,147.0
19688,,,,,5.54,21.2,14.6,0,1.8,58.4,228.2
19689,,,,,5.61,23.5,27.8,0,3.1,19.6,103.3
19694,,,,,6.71,58.2,9.6,2,1.0,53.8,159.4
19696,,,,,7.06,45.4,17.2,5,2.1,68.5,332.5
19698,,,,,5.68,11.43,38.4,2,3.5,21.2,200.2
19699,,,,,6.05,12.9,53.1,1,5.0,23.3,81.4
19701,,,,,5.88,10.03,46.0,1,4.8,24.6,102.2
19702,,,,,6.01,30.9,10.6,1,1.3,68.9,290.1
19705,,,,,6.9,18.09,12.9,3,1.6,37.6,88.2
19707,,,,,5.7,35.3,12.4,2,1.5,46.6,73.1
19708,,,,,5.6,11.9,27.4,1,2.8,34.2,106.7
19709,,,,,6.32,19.97,28.7,1,3.2,24.8,233.4
19710,,,,,7.09,40.1,43.2,13,4.3,69.6,600.2
19713,,,,,5.83,16.83,13.5,1,1.6,40.0,140.4
19715,,,,,7.41,17.82,10.3,3,1.4,48.3,158.8
19716,,,,,7.36,36.8,40.4,38,4.5,26.3,486.1
19718,,,,,6.85,18.8,49.2,12,4.9,23.6,257.7
19722,,,,,6.59,58.6,43.9,2,4.6,58.6,212.1
19724,,,,,6.11,29.8,19.5,0,2.1,51.1,299.7
19725,,,,,6.06,45.7,16.2,0,2.1,76.7,263.4
19726,,,,,6.41,38.5,20.7,2,2.6,49.6,329.8
19727,,,,,7.06,28.6,12.8,2,1.7,89.5,371.5
19728,,,,,7.34,14.83,11.1,3,1.5,29.7,143.9
19729,,,,,6.58,39.2,30.9,3,3.1,55.0,37.2
19731,,,,,6.4,21.2,15.6,1,1.9,72.4,427.6
19732,,,,,6.8,22.1,15.6,1,1.9,70.5,353.3
19733,,,,,7.19,27.0,17.2,2,2.0,108.1,497.8
19734,,,,,6.5,20.8,17.4,3,2.2,36.6,317.1
19735,,,,,6.12,20.1,18.0,2,2.0,83.6,355.0
19736,,,,,7.1,28.8,17.0,5,2.1,100.4,296.1
19738,,,,,7.19,14.61,8.0,3,0.9,64.2,153.5
19739,,,,,5.83,14.09,10.6,0,1.3,51.0,126.2
19740,,,,,7.04,20.8,11.6,1,1.4,41.9,229.1
19741,,,,,6.93,20.6,18.8,2,2.3,121.2,599.0
19744,,,,,6.75,41.3,50.2,2,5.4,14.9,427.6
19746,,,,,6.58,22.7,11.7,0,1.5,78.0,240.4
19752,,,,,7.13,53.1,40.1,6,4.5,33.5,160.4
19753,,,,,6.36,25.3,12.6,0,1.5,28.0,309.3
19754,,,,,6.55,21.2,17.6,0,2.2,75.3,190.0
19755,,,,,7.24,23.8,9.9,3,1.2,81.2,229.0
19758,,,,,6.18,11.82,9.7,0,1.1,61.6,418.4
19759,,,,,6.37,39.5,13.0,0,1.6,55.7,162.4
19760,,,,,7.04,28.9,25.7,3,3.0,35.9,61.5
19763,,,,,7.35,38.7,25.9,144,4.3,13.0,105.7
19764,,,,,7.44,32.7,31.8,25,2.8,15.2,38.3
19765,,,,,6.34,13.26,13.7,0,1.7,76.3,238.9
19770,,,,,6.77,24.9,29.5,2,3.4,97.6,104.9
19771,,,,,7.12,14.67,18.8,3,2.2,56.0,423.4
19772,,,,,6.33,48.4,49.0,0,6.1,71.5,89.3
19774,,,,,6.93,13.09,23.9,1,2.9,75.8,114.8
19777,,,,,5.96,12.75,38.2,1,4.0,27.1,152.8
19779,,,,,5.57,24.6,8.8,0,1.1,84.6,250.7
19781,,,,,7.47,12.42,9.1,24,1.1,51.3,105.4
19782,,,,,6.3,14.2,4.8,0,0.6,22.5,84.5
19783,,,,,7.22,26.2,13.8,1,1.7,35.7,295.1
19785,,,,,6.54,24.0,10.7,1,1.4,53.8,224.3
19786,,,,,6.79,28.1,15.6,1,1.8,99.2,403.6
19787,,,,,6.63,29.0,14.7,1,1.8,29.4,181.8
19789,,,,,7.15,15.21,12.8,5,1.5,73.7,243.2
19791,,,,,6.14,30.0,21.5,0,2.5,75.2,194.3
19792,,,,,7.1,11.95,11.6,2,1.4,29.8,119.2
19793,,,,,6.69,20.9,15.8,2,1.8,32.9,232.5
19794,,,,,7.27,14.19,10.1,5,1.3,34.2,88.8
19800,,,,,6.45,19.6,12.5,1,1.4,56.6,190.6
19801,,,,,7.18,12.1,6.0,4,0.8,86.8,65.9
19802,,,,,7.29,45.0,19.2,23,2.0,75.0,376.7
19803,,,,,5.73,10.82,9.6,0,1.1,66.8,192.0
19804,,,,,5.89,28.4,8.1,0,1.1,34.7,172.7
19806,,,,,6.53,31.6,7.3,1,0.9,44.6,238.9
19810,,,,,7.34,22.3,41.1,350,2.9,11.4,101.1
19813,,,,,5.78,41.0,12.6,1,1.8,43.4,797.3
19815,,,,,7.37,22.4,38.6,119,3.8,87.3,483.0
19817,,,,,6.03,21.4,67.0,2,6.7,27.9,142.9
19818,,,,,7.31,22.4,37.5,94,3.2,12.6,260.0
19821,,,,,6.05,11.01,22.0,0,2.6,15.4,60.1
19823,,,,,7.22,19.79,49.9,308,3.5,19.0,150.6
19826,,,,,6.72,21.0,13.6,1,1.5,41.6,291.7
19828,,,,,7.37,19.38,14.8,4,1.6,50.1,454.8
19829,,,,,5.87,13.72,12.7,0,1.4,22.8,236.7
19830,,,,,6.4,51.2,48.2,0,5.9,10.2,154.6
19832,,,,,7.32,11.98,12.6,2,1.4,89.0,280.5
19834,,,,,7.1,17.65,14.8,3,1.8,70.2,329.2
19835,,,,,6.72,25.5,14.3,0,1.8,60.5,154.8
19837,,,,,5.83,12.65,18.2,0,2.2,26.1,65.5
19838,,,,,6.43,19.42,10.1,0,1.3,52.1,281.6
19839,,,,,6.56,17.36,14.7,1,2.0,62.2,347.2
19840,,,,,7.08,26.3,12.0,2,1.3,63.8,198.0
19842,,,,,6.61,26.3,10.7,0,1.4,45.7,207.5
19843,,,,,5.72,27.6,10.3,0,1.4,25.4,134.9
19850,,,,,5.84,20.8,13.6,1,1.7,27.4,83.7
19854,,,,,6.99,21.3,11.9,4,1.5,66.6,217.6
19855,,,,,6.24,33.6,12.7,0,1.2,44.6,49.8
19856,,,,,6.63,27.9,12.0,1,1.6,59.2,275.3
19857,,,,,5.79,29.9,16.3,0,2.3,50.9,91.5
19858,,,,,5.94,22.8,11.1,0,1.3,83.7,299.7
19861,,,,,6.26,10.57,15.3,0,2.4,40.1,161.0
19863,,,,,7.15,22.6,59.9,73,3.9,51.2,437.0
19865,,,,,7.09,38.8,21.3,1,2.6,30.5,127.5
19866,,,,,6.49,12.36,11.0,1,1.1,54.4,94.1
19867,,,,,6.27,32.9,22.0,1,2.7,51.4,111.2
19868,,,,,5.67,27.8,27.0,0,3.4,11.8,115.9
19872,,,,,5.97,13.55,9.5,0,1.1,51.9,150.3
19873,,,,,6.37,20.9,42.0,1,4.7,37.0,151.1
19877,,,,,7.49,59.1,21.5,26,2.5,60.1,659.8
19880,,,,,6.77,21.0,20.7,2,2.3,26.2,64.0
19885,,,,,7.39,28.3,14.0,26,1.6,21.4,151.0
