,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
14612,,,,,5.87,25.5,9.0,0,1.2,17.4,101.8
14628,,,,,5.6,16.37,28.0,1,2.9,62.3,205.0
14632,,,,,6.31,22.9,25.9,1,2.8,42.4,104.2
14638,,,,,5.74,10.01,40.0,0,3.2,12.7,188.6
14643,,,,,6.04,12.05,37.0,3,3.2,38.3,228.4
14658,,,,,6.05,31.9,22.3,0,2.7,119.0,376.0
14663,,,,,6.22,14.01,10.3,0,1.3,20.2,91.3
14673,,,,,5.85,38.4,57.6,1,4.1,32.6,48.9
14679,,,,,5.81,24.4,35.5,0,2.9,31.0,76.2
14689,,,,,5.6,11.17,15.3,0,1.5,40.8,83.4
14714,,,,,5.54,19.28,24.5,0,2.1,30.1,148.6
14777,,,,,5.69,34.3,32.1,0,3.1,147.3,162.4
14779,,,,,5.63,27.7,23.7,0,2.4,26.3,75.7
14803,,,,,6.35,19.04,23.8,0,2.2,74.0,165.3
14808,,,,,5.81,16.66,38.0,0,2.9,41.7,202.6
14811,,,,,5.83,24.8,22.2,0,2.2,50.0,175.6
14814,,,,,6.12,21.0,17.3,0,1.6,49.2,141.2
14815,,,,,5.6,20.4,18.8,0,1.8,38.4,212.0
14819,,,,,6.23,22.6,36.0,0,3.3,22.0,210.1
14830,,,,,6.0,22.4,33.3,0,2.6,76.1,353.2
14838,,,,,5.57,13.6,94.0,0,5.8,96.5,353.5
14842,,,,,5.95,44.5,35.5,0,3.1,43.7,330.5
14847,,,,,6.26,12.85,37.8,1,4.1,56.3,299.5
14852,,,,,5.76,13.42,10.5,0,1.2,47.8,86.5
14858,,,,,5.64,21.7,51.5,0,4.0,67.3,320.1
14860,,,,,5.62,11.64,25.4,0,2.1,48.7,209.3
14863,,,,,6.35,20.0,24.8,0,2.1,53.8,175.5
14865,,,,,5.71,10.08,38.3,0,3.5,46.4,226.2
14877,,,,,5.87,14.09,33.9,1,2.9,55.9,245.6
14881,,,,,5.63,11.18,24.1,0,2.2,23.2,177.8
14885,,,,,6.37,20.9,12.4,1,1.4,61.1,149.8
14904,,,,,5.91,26.1,34.1,0,2.7,55.6,444.1
14912,,,,,5.51,18.62,33.0,0,3.1,23.8,265.2
14967,,,,,6.42,25.1,28.0,0,2.5,44.3,82.9
14978,,,,,5.7,55.3,56.8,0,4.3,47.6,159.1
14985,,,,,5.82,12.52,33.2,0,2.5,37.7,80.0
15026,,,,,6.4,18.07,20.5,1,2.2,51.6,484.1
15033,,,,,6.11,14.72,27.9,1,2.4,15.0,200.0
15036,,,,,5.73,19.64,30.6,1,2.7,62.3,257.6
15038,,,,,5.73,38.7,24.7,0,2.6,44.3,264.9
15053,,,,,6.23,16.25,55.8,0,3.4,65.4,294.7
15054,,,,,5.66,14.63,39.8,0,2.4,104.9,63.3
15086,,,,,5.82,23.8,26.2,0,2.7,45.6,324.8
15090,,,,,5.92,24.1,21.4,0,2.0,33.0,69.1
15091,,,,,6.15,36.5,31.0,0,3.2,46.9,242.6
15128,,,,,5.81,11.86,28.2,1,2.5,14.3,264.6
15141,,,,,5.57,28.6,31.1,0,2.0,38.2,36.7
15148,,,,,5.69,15.61,18.9,0,1.4,57.6,33.7
15160,,,,,5.5,31.8,27.7,0,2.2,96.4,117.0
15166,,,,,5.64,42.2,31.8,0,2.9,52.4,436.1
15187,,,,,6.29,35.1,33.4,1,3.2,22.3,338.4
15209,,,,,5.94,31.4,35.5,0,3.4,34.1,177.4
15212,,,,,5.62,34.8,51.3,1,2.7,49.8,129.0
15225,,,,,6.13,31.0,24.6,0,2.7,69.3,373.8
15236,,,,,6.38,23.3,25.9,0,2.0,27.3,87.9
15245,,,,,5.61,49.7,70.3,0,6.3,61.3,255.7
15247,,,,,5.96,16.58,15.5,1,1.6,37.6,101.9
15254,,,,,5.98,28.0,35.1,0,2.6,72.5,183.9
15258,,,,,5.69,17.35,36.7,0,3.7,16.3,377.4
15261,,,,,6.07,10.92,41.6,0,3.6,61.4,97.9
15267,,,,,6.23,24.7,32.2,0,3.2,88.0,122.4
15272,,,,,5.75,12.16,30.5,0,3.1,51.9,273.8
15305,,,,,5.53,33.6,50.0,0,4.3,34.0,200.5
15314,,,,,6.25,42.8,64.2,3,3.8,65.4,148.1
15321,,,,,5.98,22.5,21.9,1,2.1,48.7,203.4
15336,,,,,6.12,36.9,41.9,1,3.6,73.8,348.5
15356,,,,,5.97,34.3,481.9,0,14.3,165.0,3104.8
15633,,,,,5.89,17.63,18.7,0,1.8,23.3,155.2
15670,,,,,5.63,34.7,42.5,0,3.6,29.6,77.7
15672,,,,,6.38,12.83,30.5,1,2.8,103.7,340.6
15673,,,,,5.55,15.35,44.0,1,4.0,25.9,419.7
15675,,,,,5.64,10.65,40.9,1,3.4,18.8,262.2
15679,,,,,5.66,40.2,37.7,0,3.4,50.7,437.1
15684,,,,,6.17,40.2,28.2,1,2.5,70.7,145.7
15717,,,,,5.91,26.9,62.9,0,5.8,6.7,139.6
15718,,,,,6.14,12.87,95.3,1,8.3,10.3,182.9
15738,,,,,5.6,10.54,39.9,0,4.1,17.0,153.2
15744,,,,,6.48,36.1,53.6,2,4.4,0.0,73.4
15746,,,,,5.76,14.14,39.1,0,3.9,27.6,371.0
15755,,,,,5.77,15.48,3.7,0,0.6,28.3,102.7
15783,,,,,6.27,37.7,27.8,1,2.5,8.8,55.9
15787,,,,,5.92,11.49,37.8,0,3.6,74.7,76.4
15800,,,,,6.23,11.72,35.2,2,3.0,25.3,227.7
15806,,,,,6.15,33.4,59.1,2,4.7,33.5,159.7
15818,,,,,6.07,48.4,56.0,4,5.2,0.0,122.5
15905,,,,,6.12,10.96,30.0,1,1.9,5.7,77.2
15909,,,,,6.4,17.74,62.0,2,3.8,9.0,266.5
15924,,,,,5.62,14.97,7.6,0,1.0,10.9,150.4
16047,,,,,6.5,11.34,3.7,0,0.5,6.4,86.1
16067,,,,,6.28,48.2,46.0,0,4.8,12.8,224.4
16081,,,,,6.16,22.8,14.5,0,1.7,9.8,141.9
16107,,,,,6.5,18.91,7.8,0,0.9,39.8,231.9
16111,,,,,5.62,12.25,5.3,0,0.9,22.3,83.6
16255,,,,,5.63,11.84,16.5,0,1.7,23.8,125.0
16383,,,,,5.8,13.73,2.8,0,0.4,20.9,55.2
16399,,,,,6.1,22.8,10.8,0,1.1,23.0,271.8
16401,,,,,6.45,11.11,10.8,0,1.0,24.5,229.8
16403,,,,,6.33,10.98,8.1,0,0.8,12.3,147.8
16412,,,,,6.29,17.17,6.7,0,0.6,58.4,259.3
16418,,,,,6.46,10.7,3.6,0,0.5,21.3,91.2
16453,,,,,6.24,55.6,12.1,0,1.7,49.4,343.5
16458,,,,,6.09,20.1,9.7,0,1.4,11.7,52.4
16462,,,,,6.11,23.7,8.0,0,1.0,18.3,134.8
16476,,,,,5.79,24.5,28.7,0,3.2,6.8,138.0
16478,,,,,6.29,22.0,9.1,0,1.0,31.6,138.8
16480,,,,,6.08,35.2,11.3,0,1.5,37.7,144.9
16484,,,,,5.6,10.54,49.8,0,4.3,26.9,228.2
16499,,,,,5.72,12.87,6.6,0,0.8,22.4,55.4
16506,,,,,5.58,36.7,7.8,1,1.1,44.1,119.6
16507,,,,,5.75,38.9,21.0,0,2.5,7.3,116.2
16515,,,,,5.71,15.36,8.8,0,1.0,12.2,151.9
16598,,,,,6.01,10.72,27.5,0,3.0,35.8,230.4
16638,,,,,5.56,10.7,32.9,0,3.4,22.2,278.3
16694,,,,,5.85,12.03,12.2,0,1.2,69.9,285.6
16778,,,,,6.5,23.4,10.1,0,1.5,80.2,174.3
16781,,,,,6.05,13.84,42.0,1,3.5,9.6,312.1
16845,,,,,6.31,12.56,31.9,0,3.0,27.8,148.0
16854,,,,,5.91,13.27,31.8,0,3.3,10.4,73.0
16858,,,,,6.02,19.38,12.6,0,1.5,13.0,71.9
16870,,,,,5.95,22.5,30.7,0,2.5,6.3,430.2
16874,,,,,5.83,26.3,59.4,2,4.4,18.4,51.8
16896,,,,,5.69,15.1,34.1,0,3.0,10.7,133.9
16976,,,,,5.98,10.46,5.1,0,0.7,44.8,113.7
17002,,,,,6.42,11.07,18.3,0,1.9,16.3,261.7
17004,,,,,6.38,10.77,19.9,0,1.3,17.2,606.2
17015,,,,,6.19,11.14,38.5,0,3.6,26.6,298.2
17025,,,,,6.26,17.85,16.5,0,1.4,60.7,120.3
17092,,,,,6.46,11.8,21.6,1,2.2,8.9,183.6
17154,,,,,5.62,55.7,28.2,0,3.2,58.8,417.8
17171,,,,,6.27,21.0,17.2,0,1.9,27.1,219.3
17179,,,,,6.42,41.5,8.6,1,1.3,23.2,99.9
17186,,,,,6.3,14.29,11.2,1,1.6,23.5,196.4
17191,,,,,6.12,11.88,7.1,0,1.1,30.4,108.0
17206,,,,,5.61,11.73,17.8,0,1.9,32.2,158.5
17212,,,,,6.33,51.0,34.4,0,3.8,115.4,83.2
17222,,,,,6.15,17.23,6.8,0,1.0,77.9,179.2
17245,,,,,6.09,15.8,16.7,1,1.6,22.6,295.4
17252,,,,,5.61,12.16,11.5,6,1.4,40.4,601.2
17255,,,,,6.26,18.92,7.8,1,1.1,12.4,148.5
17258,,,,,5.52,14.68,10.3,0,1.0,7.9,174.8
17260,,,,,6.14,11.1,17.4,1,1.5,8.3,142.2
17261,,,,,6.45,11.94,23.4,0,2.6,0.0,141.7
17275,,,,,6.1,10.7,22.9,0,2.2,6.0,110.3
17291,,,,,5.89,12.62,12.8,1,1.6,11.6,191.8
17295,,,,,5.79,15.37,4.0,0,0.6,15.1,119.0
17297,,,,,6.14,32.0,25.4,1,2.2,18.0,250.3
17298,,,,,6.24,24.1,12.8,1,1.7,5.5,74.5
17299,,,,,6.29,25.5,23.2,0,2.6,15.5,178.5
17426,,,,,5.82,12.37,35.3,1,2.4,10.7,137.1
17442,,,,,6.37,14.24,16.9,0,1.4,16.8,224.5
17596,,,,,5.89,10.73,6.2,1,0.7,25.6,139.9
17600,,,,,6.1,15.9,6.9,0,1.0,21.5,105.6
17620,,,,,6.11,15.54,54.0,0,5.3,7.5,127.5
17623,,,,,6.06,10.36,8.5,0,0.9,25.8,243.7
17624,,,,,5.5,17.15,11.5,0,1.3,17.6,171.3
17680,,,,,5.72,14.81,20.8,0,2.1,28.5,171.8
17690,,,,,6.04,12.93,3.2,0,0.4,25.1,70.2
17699,,,,,5.63,12.89,6.5,0,0.8,48.9,102.3
17767,,,,,6.46,11.92,12.0,0,1.2,25.2,107.2
17857,,,,,6.33,35.8,6.2,0,0.9,23.5,75.4
17945,,,,,5.58,25.5,12.4,0,1.5,42.4,84.2
17952,,,,,6.22,19.36,23.2,0,2.5,34.3,116.9
17955,,,,,5.65,28.5,30.3,0,3.1,57.6,267.8
17987,,,,,6.37,38.5,40.1,1,5.0,15.1,117.8
17988,,,,,6.14,20.2,76.1,1,5.1,13.9,129.9
18000,,,,,6.14,10.03,7.3,0,1.1,12.0,136.9
18038,,,,,5.81,56.9,27.0,1,3.2,43.8,163.0
18039,,,,,6.47,21.2,17.0,1,1.8,5.0,112.3
18060,,,,,6.36,16.16,5.9,1,0.7,10.3,145.4
18073,,,,,5.74,16.75,6.7,3,1.0,46.5,292.3
18093,,,,,5.89,11.9,40.1,0,5.1,12.1,108.3
18095,,,,,5.81,10.43,3.7,1,0.4,7.5,27.6
18104,,,,,5.82,10.85,8.6,1,1.1,0.0,39.7
18105,,,,,5.95,12.36,10.4,1,1.3,7.9,98.9
18168,,,,,6.0,46.0,30.2,0,2.9,10.8,241.1
18187,,,,,6.37,41.2,22.4,1,2.4,8.9,163.9
18189,,,,,6.47,11.28,17.1,1,2.1,44.5,484.0
18196,,,,,6.34,26.4,18.0,1,1.7,6.5,154.0
18206,,,,,6.42,11.67,11.3,1,1.2,20.4,167.8
18228,,,,,6.05,11.05,15.7,1,1.8,54.5,283.8
18241,,,,,6.44,13.67,3.9,1,0.6,44.1,97.7
18249,,,,,6.07,14.99,6.5,0,0.8,7.6,41.2
18271,,,,,6.4,10.82,8.0,0,0.7,21.9,108.4
18274,,,,,5.92,35.1,15.1,0,1.6,16.2,131.3
18301,,,,,5.81,10.87,16.6,0,1.6,12.1,111.4
18304,,,,,6.26,36.7,19.1,0,1.9,25.3,140.5
18315,,,,,5.63,11.0,7.8,0,0.9,10.2,30.3
18319,,,,,6.5,12.01,9.8,0,1.3,35.2,151.2
18348,,,,,6.41,11.16,25.5,2,2.6,11.3,552.9
18350,,,,,6.48,14.05,32.2,1,3.4,4.8,166.5
18368,,,,,6.4,15.47,3.7,1,0.5,39.8,199.6
18385,,,,,6.02,33.8,18.1,0,1.6,10.8,97.3
18400,,,,,6.42,15.55,15.5,0,1.8,13.2,123.1
18402,,,,,5.88,27.6,19.0,0,1.6,15.0,100.6
18542,,,,,5.67,16.24,16.1,0,1.9,15.6,159.7
18589,,,,,6.04,11.02,16.2,0,1.7,16.0,226.0
18618,,,,,5.55,12.24,69.4,0,5.2,18.3,32.5
18631,,,,,6.35,15.18,29.0,4,1.8,9.2,62.4
18640,,,,,6.07,16.07,39.7,1,3.7,15.2,51.8
18654,,,,,6.02,18.99,39.6,1,3.9,30.9,56.9
18655,,,,,6.23,14.38,18.8,1,1.7,24.6,106.8
18658,,,,,6.43,11.58,24.5,0,2.5,14.9,157.9
18659,,,,,6.08,12.7,15.1,0,1.7,31.6,55.5
18662,,,,,5.63,10.7,33.5,0,2.5,13.7,25.7
18671,,,,,6.43,11.77,16.9,3,1.8,51.6,106.2
18674,,,,,5.83,14.26,81.4,2,5.8,20.4,515.3
18676,,,,,6.31,20.1,30.0,2,2.8,218.3,354.7
18680,,,,,6.29,23.0,35.2,0,2.9,12.4,68.5
18681,,,,,5.97,16.59,57.1,1,4.9,15.0,93.4
18687,,,,,5.98,12.81,16.9,0,1.7,27.9,127.1
18688,,,,,6.31,14.56,13.0,0,1.3,19.5,165.0
18691,,,,,6.35,21.4,12.6,0,1.3,39.8,277.0
18693,,,,,5.7,13.7,14.8,0,1.7,44.1,184.4
18695,,,,,5.55,14.37,32.8,1,2.6,27.7,34.7
18700,,,,,5.86,20.1,16.3,0,1.7,23.3,145.7
18703,,,,,6.1,15.19,17.4,0,1.8,31.8,115.7
18704,,,,,6.42,16.06,13.0,0,1.4,12.3,249.8
18705,,,,,5.93,11.42,24.8,0,2.2,9.7,49.1
18708,,,,,6.48,15.22,17.0,0,1.9,50.1,201.5
18711,,,,,6.21,13.15,16.4,0,1.8,32.2,188.0
18713,,,,,6.2,37.2,214.8,5,8.4,19.6,259.9
18717,,,,,6.17,15.36,68.1,0,4.3,43.1,114.9
18720,,,,,5.81,11.37,50.2,0,4.1,9.8,41.8
18722,,,,,6.29,13.52,37.7,2,2.7,198.6,198.8
18723,,,,,6.33,56.1,90.3,0,9.3,21.2,108.5
18727,,,,,6.18,14.83,34.3,0,3.3,7.1,267.0
18728,,,,,6.18,26.0,41.3,0,4.2,8.2,200.0
18736,,,,,6.22,31.4,71.6,1,5.3,14.4,36.6
18739,,,,,6.5,36.0,130.0,1,7.5,30.7,131.9
18745,,,,,6.01,42.1,205.9,1,13.4,35.2,99.7
18746,,,,,5.72,30.3,111.0,2,9.4,125.4,50.6
18749,,,,,5.99,32.2,232.0,0,14.0,27.7,82.3
18752,,,,,5.68,11.78,73.1,0,4.9,41.3,56.5
18760,,,,,6.12,28.5,134.3,0,8.4,28.0,68.6
18762,,,,,5.94,36.6,148.9,1,10.0,36.1,56.0
18763,,,,,5.93,40.3,54.9,0,4.5,25.8,82.0
18768,,,,,6.22,57.0,298.5,1,19.4,30.5,100.6
18769,,,,,6.17,38.7,144.4,1,8.4,57.2,53.0
18770,,,,,6.32,25.3,119.7,0,8.1,21.6,89.7
18774,,,,,6.33,28.2,50.1,1,3.5,26.7,53.7
18779,,,,,6.22,26.5,18.3,0,2.1,50.2,209.6
18780,,,,,6.1,31.2,18.5,0,2.1,41.2,114.2
18782,,,,,5.77,41.5,13.7,0,1.9,85.0,215.3
18785,,,,,6.25,28.9,10.0,1,1.4,73.9,249.3
18787,,,,,6.23,35.6,39.5,0,3.4,29.8,35.6
18789,,,,,6.43,43.7,13.2,1,1.7,71.9,210.5
18791,,,,,5.67,37.7,57.3,1,5.2,53.8,57.5
18800,,,,,6.26,18.23,13.3,0,1.6,26.3,100.1
18803,,,,,6.31,21.2,44.8,0,4.6,64.1,174.1
18804,,,,,5.77,19.22,62.0,0,5.1,28.6,325.9
18809,,,,,5.52,13.65,13.5,0,1.6,42.6,187.9
18811,,,,,6.08,22.0,15.6,0,1.9,43.7,227.6
18814,,,,,5.87,27.3,15.1,0,1.8,35.5,101.5
18816,,,,,5.76,21.2,36.6,0,3.0,75.1,221.5
18817,,,,,6.11,15.86,15.1,0,1.9,14.6,57.9
18819,,,,,6.46,13.56,30.9,0,1.9,20.7,75.0
18829,,,,,5.75,10.59,45.4,0,2.3,62.3,61.8
18835,,,,,6.18,15.04,15.6,0,2.0,41.9,127.2
18836,,,,,5.53,37.1,66.2,0,4.5,72.5,63.7
18837,,,,,5.51,24.7,21.0,0,2.1,89.2,147.9
18838,,,,,5.66,17.62,31.3,0,2.5,68.1,130.7
18839,,,,,6.17,15.41,22.5,0,2.0,52.4,37.9
18841,,,,,5.7,29.9,31.0,0,2.4,73.0,118.6
18843,,,,,5.52,11.32,23.8,0,2.0,34.9,29.7
18847,,,,,5.58,30.7,23.4,0,2.7,72.4,108.5
18849,,,,,6.1,36.3,36.9,0,3.1,104.4,190.8
18854,,,,,5.57,17.25,10.0,0,1.1,42.8,92.6
18855,,,,,5.61,12.18,12.6,0,1.3,48.1,54.8
18856,,,,,5.62,42.2,31.9,0,3.4,40.9,92.6
18857,,,,,6.05,19.71,19.4,0,2.3,28.2,90.2
18861,,,,,5.57,35.6,42.7,0,4.0,33.5,39.3
18870,,,,,6.08,12.29,9.4,0,1.2,14.1,71.8
18873,,,,,5.58,22.0,11.3,0,1.2,48.9,30.4
18875,,,,,6.0,38.2,19.7,0,2.2,69.6,180.4
18876,,,,,6.31,18.77,18.5,0,2.0,76.7,102.0
18877,,,,,6.15,16.39,13.8,0,1.7,27.8,153.5
18881,,,,,5.61,24.1,14.0,0,1.7,16.1,155.7
18884,,,,,6.27,17.27,12.0,1,1.4,46.6,42.5
18885,,,,,6.14,18.67,10.0,0,1.3,34.8,76.0
18886,,,,,6.2,25.7,12.9,1,1.6,43.5,59.8
18891,,,,,6.15,18.9,12.2,0,1.5,35.1,91.8
18896,,,,,5.93,18.94,15.8,0,1.7,41.9,143.3
18897,,,,,5.94,17.34,11.7,0,1.4,43.3,103.0
18902,,,,,6.11,22.7,14.2,0,1.8,37.5,157.3
18903,,,,,5.75,14.19,8.7,0,1.1,16.8,92.1
18904,,,,,5.8,18.55,13.4,0,1.7,25.2,99.9
18906,,,,,5.52,12.92,19.9,0,2.3,34.7,54.5
18909,,,,,6.27,12.03,10.3,0,1.2,30.4,75.0
18910,,,,,5.76,22.9,15.0,0,1.9,31.7,99.7
18915,,,,,5.81,16.81,16.4,0,1.7,30.5,90.7
18916,,,,,6.21,22.1,13.9,0,1.7,41.4,90.1
18919,,,,,5.92,18.84,19.7,0,2.2,36.6,86.5
18922,,,,,5.97,48.0,59.1,0,5.2,74.8,330.7
18926,,,,,6.23,24.9,25.8,0,2.7,34.4,98.9
18929,,,,,6.34,26.6,10.1,0,1.4,27.9,170.7
18931,,,,,6.04,32.0,9.9,0,1.4,27.4,86.0
18932,,,,,6.41,17.56,10.8,0,1.5,21.1,89.4
18938,,,,,6.06,23.9,23.5,0,1.5,65.9,59.8
18940,,,,,6.1,12.76,22.4,0,1.6,39.5,31.9
18941,,,,,6.1,22.2,15.4,0,1.9,59.9,109.3
18942,,,,,5.84,23.3,27.1,0,2.5,93.5,191.5
18948,,,,,6.12,16.84,12.4,0,1.0,94.7,50.4
18949,,,,,5.51,19.2,27.5,0,2.0,58.1,60.7
18950,,,,,5.52,22.1,27.4,0,2.7,78.2,84.0
18951,,,,,5.65,50.2,21.0,0,2.5,43.0,327.8
18958,,,,,5.52,16.4,14.3,0,1.6,31.6,49.3
18959,,,,,5.76,23.6,63.9,0,5.1,23.8,96.8
18960,,,,,5.72,11.86,18.9,0,2.0,23.7,172.2
18967,,,,,6.32,17.69,22.0,0,1.8,24.8,50.1
18968,,,,,5.96,12.68,11.4,0,1.2,53.5,36.9
18977,,,,,6.21,36.7,78.0,0,6.5,66.4,96.9
18978,,,,,6.24,10.73,15.0,0,1.7,60.2,62.7
18981,,,,,6.5,12.74,10.1,0,1.1,51.1,66.1
18988,,,,,6.39,10.88,21.2,0,2.2,39.7,91.4
18991,,,,,6.02,16.51,10.5,0,1.3,63.1,83.1
18992,,,,,6.43,24.2,18.2,0,2.2,27.8,61.3
18995,,,,,5.78,16.76,13.4,0,1.5,53.5,148.1
